# Last modified: 25-11-2016@22:02:06
# LRG_ID	HGNC_SYMBOL	LRG_STATUS	CHROMOSOME	START	STOP	STRAND
LRG_136	CFB	public	6	31940944	31954084	1
LRG_137	C4A	public	6	31977057	32004680	1
LRG_138	C4B	public	6	32009794	32037417	1
LRG_139	C8A	public	1	56849770	56920221	1
LRG_140	MS4A1	public	11	60450809	60472752	1
LRG_141	CD40LG	public	X	136643177	136662390	1
LRG_142	CD81	public	11	2372317	2399419	1
LRG_143	LYST	public	1	235659043	235888640	-1
LRG_144	CSF3R	public	1	36464043	36487908	-1
LRG_145	F12	public	5	177400140	177414576	-1
LRG_146	FPR1	public	19	51743773	51756897	-1
LRG_147	G6PC	public	17	42895798	42915369	1
LRG_148	G6PD	public	X	154529391	154552572	-1
LRG_149	CFHR1	public	1	196814731	196834189	1
LRG_150	IL2RG	public	X	71105409	71116553	-1
LRG_151	IL10RA	public	11	117981391	118003483	1
LRG_152	IL10RB	public	21	33261367	33299215	1
LRG_153	LCK	pending	1	32246239	32288165	1
LRG_154	MBL2	public	10	52763380	52776700	-1
LRG_155	CD46	public	1	207747057	207797513	1
LRG_156	MVK	public	12	109568695	109599266	1
LRG_157	MYD88	public	3	38133478	38145022	1
LRG_158	NBN	public	8	89931336	89989671	-1
LRG_159	NCF4	public	22	36855988	36880017	1
LRG_160	PIGA	public	X	15317456	15340538	-1
LRG_161	PMS2	public	7	5971239	6014106	-1
LRG_162	PRKDC	public	8	47771108	47965183	-1
LRG_163	RMRP	public	9	35655751	35663018	-1
LRG_164	STIM1	public	11	3850703	4095210	1
LRG_165	STXBP2	public	19	7632105	7649873	1
LRG_166	TAP1	pending	6	32843209	32858971	-1
LRG_167	TAP2	pending	6	32811767	32843770	-1
LRG_168	THBD	public	20	23043633	23054664	-1
LRG_169	APOL1	public	22	36248071	36269531	1
LRG_170	AP3B1	public	5	78000326	78299704	-1
LRG_171	FCN3	public	1	27367110	27379825	-1
LRG_172	PSTPIP1	public	15	76990124	77039330	1
LRG_173	TTC37	public	5	95461895	95560005	-1
LRG_174	LPIN2	public	18	2914994	3016947	-1
LRG_175	CFHR3	public	1	196769800	196796073	1
LRG_176	CHD7	public	8	60673780	60868906	1
LRG_177	NOD2	public	16	50692139	50735076	1
LRG_178	CARD9	public	9	136361956	136378681	-1
LRG_179	CLEC7A	public	12	10114777	10135269	-1
LRG_180	FERMT3	public	11	64201680	64225891	1
LRG_181	NLRP12	pending	19	53791584	53829394	-1
LRG_182	G6PC3	public	17	44065730	44078344	1
LRG_183	SLC46A1	public	17	28392642	28411210	-1
LRG_184	TNFRSF13C	public	22	41923032	41931817	-1
LRG_185	RNF168	public	3	196466783	196508768	-1
LRG_186	CSF2RA	public	Y	1263800	1311935	1
LRG_187	SLC37A4	public	11	119022351	119035906	-1
LRG_188	IL1RN	public	2	113112893	113136016	1
LRG_189	ITK	public	5	157175896	157257099	1
LRG_190	MEFV	public	16	3240028	3261627	-1
LRG_191	PIK3CD	public	1	9646732	9731114	1
LRG_192	STAT5B	public	17	42197177	42281406	-1
LRG_193	TNFRSF1A	public	12	6326757	6347095	-1
LRG_194	TNFRSF11A	public	18	62320315	62388271	1
LRG_195	CORO1A	public	16	30178605	30191076	1
LRG_196	DOCK8	public	9	209865	467259	1
LRG_197	NLRP3	public	1	247411173	247451108	1
LRG_198	AGRN	public	1	1015123	1058112	1
LRG_199	DMD	public	X	31117228	33344609	-1
LRG_200	MSTN	public	2	190053700	190067729	-1
LRG_201	MYOT	public	5	137862856	137889851	1
LRG_202	NEB	public	2	151483339	151739487	-1
LRG_203	SGCA	public	17	50161005	50177932	1
LRG_204	SGCB	public	4	52018695	52043319	-1
LRG_205	SGCD	public	5	155865344	156769788	1
LRG_206	SGCE	pending	7	94583224	94661209	-1
LRG_207	SGCG	public	13	23175921	23327165	1
LRG_208	SGCZ	public	8	14087864	15243283	-1
LRG_209	SSPN	public	12	26116991	26301290	1
LRG_210	TCAP	public	17	39660346	39668554	1
LRG_211	TRIM32	public	9	116682302	116703300	1
LRG_212	ZMPSTE24	public	1	40253061	40296184	1
LRG_213	CFL2	public	14	34708382	34719823	-1
LRG_214	NF1	public	17	31089977	31379677	1
LRG_215	EPCAM	public	2	47340163	47389028	1
LRG_216	MLH1	public	3	36988350	37067889	1
LRG_217	MLH3	public	14	75011764	75056532	-1
LRG_218	MSH2	public	2	47398124	47564311	1
LRG_219	MSH6	public	2	47778147	47808953	1
LRG_220	MUTYH	public	1	45327242	45345470	-1
LRG_221	PMS1	public	2	189779085	189879629	1
LRG_222	PSENEN	pending	19	35740593	35749002	1
LRG_223	NCSTN	pending	1	160338273	160360952	1
LRG_224	PSEN1	pending	14	73131471	73225691	1
LRG_225	PSEN2	pending	1	226865572	226898103	1
LRG_226	TBX1	public	22	19751703	19785593	1
LRG_227	CFHR5	public	1	196972537	197011674	1
LRG_228	FADD	public	11	70198163	70209402	1
LRG_229	TRAF3	public	14	102772479	102913500	1
LRG_230	COL4A3	public	2	227159565	227316791	1
LRG_231	COL4A4	public	2	227000711	227169559	-1
LRG_232	COL4A5	pending	X	108434924	108699545	1
LRG_233	COL4A6	pending	X	108141550	108444474	-1
LRG_234	ARHGEF10	public	8	1818983	1960641	1
LRG_235	BSCL2	pending	11	62688275	62714574	-1
LRG_236	CTDP1	public	18	79674801	79756507	1
LRG_237	DCTN1	pending	2	74359155	74397087	-1
LRG_238	DNM2	pending	19	10713079	10833903	1
LRG_239	EGR2	public	10	62809996	62924900	-1
LRG_240	FGD4	pending	12	32394529	32648050	1
LRG_241	FIG4	public	6	109686221	109827431	1
LRG_242	GAN	public	16	81309966	81382198	1
LRG_243	GARS	public	7	30589565	30636033	1
LRG_244	GDAP1	pending	8	74316130	74490872	1
LRG_245	GJB1	public	X	71210212	71227215	1
LRG_246	HOXD10	public	2	176106764	176121942	1
LRG_247	WNK1	pending	12	748059	913452	1
LRG_248	HSPB1	public	7	76297558	76306297	1
LRG_249	HSPB8	public	12	119173790	119223131	1
LRG_250	IGHMBP2	public	11	68898851	68942601	1
LRG_251	IKBKAP	public	9	108865520	108939328	-1
LRG_252	KIF1B	public	1	10205706	10383603	1
LRG_253	LITAF	public	16	11545722	11591950	-1
LRG_254	LMNA	public	1	156077573	156142087	1
LRG_255	MFN2	public	1	11975181	12015515	1
LRG_256	MPZ	public	1	161302735	161314972	-1
LRG_257	MTMR2	public	11	95830882	95929207	-1
LRG_258	NDRG1	public	8	133235171	133302255	-1
LRG_259	NEFL	public	8	24948955	24961617	-1
LRG_260	NGF	public	1	115283916	115343236	-1
LRG_261	NTRK1	public	1	156810750	156883850	1
LRG_262	PLEKHG5	public	1	6464092	6525009	-1
LRG_263	PMP22	public	17	15227779	15270327	-1
LRG_264	PRPS1	public	X	107623424	107653026	1
LRG_265	PRX	public	19	40391764	40418364	-1
LRG_266	RAB7A	public	3	128721136	128816798	1
LRG_267	SBF2	public	11	9776667	10299207	-1
LRG_268	SETX	public	9	132259440	132359985	-1
LRG_269	SH3TC2	public	5	148921639	149068174	-1
LRG_270	SLC12A6	public	15	34227996	34343064	-1
LRG_271	SOX10	public	22	37970312	37989532	-1
LRG_272	SPTLC1	public	9	92029145	92120408	-1
LRG_273	YARS	public	1	32773239	32823032	-1
LRG_274	LDLR	public	19	11084381	11135830	1
LRG_275	PCSK9	public	1	55034547	55066850	1
LRG_276	LDLRAP1	public	1	25538585	25570886	1
LRG_277	RECQL4	pending	8	144509284	144522826	-1
LRG_278	RNASEH2A	public	19	12801614	12815648	1
LRG_279	RNASEH2B	public	13	50904756	50972460	1
LRG_280	RNASEH2C	public	11	65712896	65725938	-1
LRG_281	SAMHD1	public	20	36889824	36956843	-1
LRG_282	TREX1	pending	3	48460830	48469645	1
LRG_283	LEPR	public	1	65415565	65643559	1
LRG_284	ZNF778	public	16	89212703	89231557	1
LRG_285	FXR2	public	17	7589230	7619897	-1
LRG_286	COL7A1	public	3	48562073	48600252	-1
LRG_287	KCNQ1	public	11	2439991	2851110	1
LRG_288	KCNH2	public	7	150942961	150982926	-1
LRG_289	SCN5A	public	3	38546062	38654672	-1
LRG_290	KCNE1	public	21	34444690	34516315	-1
LRG_291	KCNE2	public	21	34359024	34373141	1
LRG_292	BRCA1	public	17	43024295	43217981	-1
LRG_293	BRCA2	public	13	32310480	32401672	1
LRG_294	IRF8	public	16	85894168	85924606	1
LRG_295	GATA2	public	3	128477422	128498187	-1
LRG_296	AXIN2	public	17	65526563	65566622	-1
LRG_298	BMPR1A	public	10	86751639	86927188	1
LRG_299	BRAF	public	7	140717327	140929764	-1
LRG_300	BRIP1	public	17	61677186	61868559	-1
LRG_301	CDH1	public	16	68732292	68837541	1
LRG_302	CHEK2	pending	22	28685743	28746834	-1
LRG_303	CYP2D6	pending	22	42126039	42134991	-1
LRG_304	EGFR	public	7	55014032	55258620	1
LRG_306	FANCD2	public	3	10021429	10103930	1
LRG_307	KIT	public	4	54652994	54742689	1
LRG_308	PALB2	public	16	23601162	23646357	-1
LRG_309	PDGFRA	public	4	54224097	54300245	1
LRG_310	PIK3CA	public	3	179143523	179242093	1
LRG_311	PTEN	public	10	87858438	87973930	1
LRG_314	RAD51C	public	17	58687602	58736331	1
LRG_315	SDHA	pending	5	213241	258700	1
LRG_316	SDHB	public	1	17016722	17059170	-1
LRG_317	SDHC	public	1	161309376	161366751	1
LRG_318	SMAD4	public	18	50963040	51087042	1
LRG_319	STK11	public	19	1184407	1230435	1
LRG_321	TP53	public	17	7659779	7692550	-1
LRG_322	VHL	public	3	10136635	10154078	1
LRG_325	FLCN	public	17	17200649	17242188	-1
LRG_326	ZBTB24	public	6	109460516	109488237	-1
LRG_327	ANK2	public	4	112813083	113390728	1
LRG_328	KCNJ2	public	17	70164535	70182044	1
LRG_329	CAV3	public	3	8728810	8843808	1
LRG_330	SCN4B	public	11	118131377	118157915	-1
LRG_331	AKAP9	public	7	91935875	92112673	1
LRG_332	SNTA1	public	20	33405957	33448892	-1
LRG_333	KCNJ5	public	11	128886418	128923035	1
LRG_334	CACNA1C	public	12	1965786	2699949	1
LRG_335	ELF4	public	X	130062920	130115713	-1
LRG_336	CPS1	public	2	210472685	210681107	1
LRG_337	OPA1	public	3	193588144	193699811	1
LRG_338	LCT	public	2	135785845	135860169	-1
LRG_339	FXN	pending	9	69030563	69102178	1
LRG_340	DHCR7	public	11	71426193	71453431	-1
LRG_341	UNC119	public	17	28544707	28557628	-1
LRG_343	TERT	public	5	1251167	1300047	-1
LRG_344	KRAS	pending	12	25203246	25255920	-1
LRG_345	NOP10	public	15	34339716	34348161	-1
LRG_346	NHP2	public	5	178147463	178158960	-1
LRG_347	TERC	public	3	169762610	169770060	-1
LRG_348	CR2	public	1	207449300	207491895	1
LRG_349	MASP1	public	3	187214085	187297022	-1
LRG_350	COLEC11	public	2	3589832	3646644	1
LRG_351	VPS13B	public	8	99008266	99879580	1
LRG_352	USB1	public	16	57996373	58023623	1
LRG_353	MAGT1	public	X	77824364	77900568	-1
LRG_354	ITCH	public	20	34358256	34513392	1
LRG_355	IL17RA	public	22	17079961	17117694	1
LRG_356	IL17F	public	6	52234686	52249500	-1
LRG_357	CD27	public	12	6439885	6453718	1
LRG_358	TICAM1	public	19	4813924	4836742	-1
LRG_359	AARS	public	16	70250394	70294509	-1
LRG_360	ATL1	pending	14	50528082	50635068	1
LRG_361	CCT5	public	5	10245170	10268389	1
LRG_362	DNMT1	public	19	10131346	10236286	-1
LRG_363	FAM134B	public	5	16471038	16622009	-1
LRG_364	FBLN5	public	14	91867411	91952702	-1
LRG_365	HK1	public	10	69265000	69403882	1
LRG_366	KARS	public	16	75625724	75652687	-1
LRG_367	KIF1A	pending	2	240711767	240825207	-1
LRG_368	MED25	public	19	49813279	49838980	1
LRG_369	SCN9A	public	2	166193185	166380987	-1
LRG_370	SEPT9	pending	17	77276410	77502596	1
LRG_371	SPTLC2	public	14	77503997	77621767	-1
LRG_372	TRPV4	public	12	109781087	109838407	-1
LRG_373	LRSAM1	public	9	127446486	127505501	1
LRG_374	WIPF1	public	2	174557574	174687899	-1
LRG_375	WRAP53	public	17	7681071	7705502	1
LRG_376	PLCG2	public	16	81734097	81960294	1
LRG_377	ABCC9	public	12	21795389	21941694	-1
LRG_378	TNNC1	public	3	52449091	52459041	-1
LRG_379	ANKRD1	public	10	90910100	90926275	-1
LRG_380	DES	public	2	219413377	219428739	1
LRG_381	CACNB2	pending	10	18135677	18543759	1
LRG_382	RBM20	public	10	110639397	110841469	1
LRG_383	VCL	public	10	73993114	74122160	1
LRG_384	MYH7	public	14	23410738	23440661	-1
LRG_385	LDB3	public	10	86663564	86738068	1
LRG_386	MYBPC3	public	11	47329406	47357702	-1
LRG_387	TPM1	pending	15	63037639	63073915	1
LRG_388	ACTC1	public	15	34786096	34800726	-1
LRG_389	MYH6	public	14	23379990	23413277	-1
LRG_390	PLN	public	6	118543279	118562424	1
LRG_391	TTN	public	2	178523989	178835802	-1
LRG_392	MYLK2	public	20	31814375	31836697	1
LRG_393	MYL2	public	12	110908845	110925577	-1
LRG_394	JPH2	public	20	44109697	44192578	-1
LRG_395	MYL3	public	3	46855867	46887169	-1
LRG_396	MYOZ2	public	4	119130784	119189789	1
LRG_397	DSG2	public	18	31493242	31551008	1
LRG_398	PKP2	public	12	32788746	32901846	-1
LRG_399	TGFB3	public	14	75956099	75986749	-1
LRG_400	DSC2	public	18	31063976	31107425	-1
LRG_401	JUP	public	17	41617440	41791712	-1
LRG_402	RYR2	pending	1	237037402	237968059	1
LRG_403	BMP10	public	2	68863481	68876517	-1
LRG_404	CASQ2	public	1	115698003	115773805	-1
LRG_405	CHRM2	public	7	136863652	137022255	1
LRG_406	COX15	public	10	99706748	99737666	-1
LRG_407	CRYAB	pending	11	111906626	111928722	-1
LRG_408	CTF1	public	16	30891607	30905560	1
LRG_409	LAMA2	public	6	128878141	129521516	1
LRG_410	MYPN	public	10	68101117	68214017	1
LRG_411	NEBL	public	10	20777973	21179187	-1
LRG_412	OBSCN	pending	1	228203160	228380874	1
LRG_413	RAF1	public	3	12581609	12669179	-1
LRG_414	SRI	public	7	88203117	88231993	-1
LRG_415	SYNM	public	15	99093219	99137595	1
LRG_416	TTR	public	18	31586767	31601024	1
LRG_417	TXNRD2	public	22	19873517	19946836	-1
LRG_418	EYA4	pending	6	133236357	133534120	1
LRG_419	GPD1L	public	3	32101511	32170715	1
LRG_420	SCN1B	pending	19	35025688	35042449	1
LRG_421	SCN3B	public	11	123627187	123659607	-1
LRG_422	CALR3	public	19	16477057	16633204	-1
LRG_423	DSP	public	6	7536637	7588713	1
LRG_424	ADORA3	public	1	111481348	111568975	-1
LRG_425	FLT1	pending	13	28298346	28500128	-1
LRG_426	MYOM1	public	18	3064807	3225108	-1
LRG_427	SYNE1	pending	6	152119687	152642399	-1
LRG_428	TP63	pending	3	189626427	189899279	1
LRG_429	ACTA1	public	1	229429245	229439096	-1
LRG_430	PRKAG2	pending	7	151554114	151882231	-1
LRG_431	TNNT2	pending	1	201357014	201382677	-1
LRG_432	TNNI3	public	19	55149767	55162732	-1
LRG_433	LAMA4	public	6	112105931	112259626	-1
LRG_434	FKTN	public	9	105553130	105643118	1
LRG_435	TMEM43	public	3	14119940	14145680	1
LRG_436	ACTN2	pending	1	236681470	236766258	1
LRG_437	CACNA2D1	public	7	81944444	82448715	-1
LRG_438	MYO6	pending	6	75744193	75921537	1
LRG_439	KCNE3	public	11	74452841	74472555	-1
LRG_440	CSRP3	public	11	19180031	19215573	-1
LRG_441	SLC25A4	pending	4	185138263	185152384	1
LRG_442	NEXN	public	1	77883515	77945895	1
LRG_443	TMPO	public	12	98510573	98552379	1
LRG_444	ILK	public	11	6598734	6612870	1
LRG_445	KCND3	public	1	111768662	111994155	-1
LRG_446	TCF21	public	6	133884121	133897537	1
LRG_447	HMGCS2	public	1	119745996	119773932	-1
LRG_448	ACAD8	public	11	134248540	134267855	1
LRG_449	AUH	public	9	91211815	91366924	-1
LRG_450	HSD17B10	public	X	53429258	53439376	-1
LRG_451	ACADSB	public	10	123003913	123060290	1
LRG_452	FOXD4	public	9	114234	123417	-1
LRG_453	PIK3R1	pending	5	68210756	68303821	1
LRG_454	FKBP14	public	7	30008583	30031801	-1
LRG_455	ROGDI	public	16	4794962	4807950	-1
LRG_456	CEBPA	public	19	33297934	33307524	-1
LRG_457	FLT3	public	13	28000616	28105568	-1
LRG_458	NPM1	public	5	171382704	171412884	1
LRG_459	DNMT3A	public	2	25225855	25347590	-1
LRG_460	AIP	public	11	67478034	67493108	1
LRG_461	ERCC2	public	19	45349391	45375587	-1
LRG_462	ERCC3	public	2	127255290	127299176	-1
LRG_463	ERCC4	public	16	13915157	13954348	1
LRG_464	ERCC5	public	13	102840824	102877995	1
LRG_465	ERCC6	public	10	49454445	49544101	-1
LRG_466	ERCC8	public	5	60871832	60950078	-1
LRG_467	DDB2	public	11	47209942	47241218	1
LRG_468	MPLKIP	pending	7	40124023	40139652	-1
LRG_469	GTF2H5	public	6	158163347	158201344	1
LRG_470	POLH	public	6	43571141	43622523	1
LRG_471	XPA	public	9	97672909	97702409	-1
LRG_472	XPC	public	3	14143147	14183672	-1
LRG_473	COL6A3	public	2	237322012	237419207	-1
LRG_474	DDB1	public	11	61297447	61347596	-1
LRG_475	COL6A1	public	21	45976749	46007049	1
LRG_476	COL6A2	public	21	46093119	46134849	1
LRG_477	GP9	public	3	129055802	129064410	1
LRG_478	GP1BB	public	22	19718543	19726774	1
LRG_479	ITGA2B	public	17	44370182	44394505	-1
LRG_480	GP1BA	pending	17	4927295	4937028	1
LRG_481	ITGB3	public	17	47248842	47346292	1
LRG_482	RUNX1	public	21	34785801	35989710	-1
LRG_483	HNF4A	public	20	44350801	44433390	1
LRG_484	GLE1	public	9	128499692	128544301	1
LRG_485	CSTB	public	21	43771950	43781378	-1
LRG_486	TSC1	public	9	132889348	132949633	-1
LRG_487	TSC2	public	16	2044306	2091119	1
LRG_488	ALK	public	2	29190774	29926566	-1
LRG_489	BUB1B	public	15	40156009	40223136	1
LRG_490	CDK4	public	12	57746220	57757381	-1
LRG_491	CYLD	public	16	50737050	50803935	1
LRG_492	DICER1	public	14	95084228	95162422	-1
LRG_493	EXT1	public	8	117792490	118116819	-1
LRG_494	EXT2	public	11	44090549	44247430	1
LRG_495	FANCA	public	16	89735551	89821657	-1
LRG_496	FANCB	public	X	14841407	14878062	-1
LRG_497	FANCC	public	9	95097054	95322709	-1
LRG_498	FANCE	public	6	35447361	35469104	1
LRG_499	FANCG	public	9	35071838	35085016	-1
LRG_500	FANCI	public	15	89238963	89319131	1
LRG_501	FANCL	public	2	58157243	58246379	-1
LRG_502	FANCM	public	14	45130933	45202887	1
LRG_503	SLX4	public	16	3579181	3616584	-1
LRG_504	FH	public	1	241495603	241524754	-1
LRG_505	GPC3	public	X	133533745	133990639	-1
LRG_506	HRAS	pending	11	530242	540550	-1
LRG_507	CDC73	public	1	193116958	193256815	1
LRG_508	LMO1	pending	11	8222304	8273635	-1
LRG_509	MEN1	public	11	64801514	64816294	-1
LRG_510	MPL	public	1	43332804	43356464	1
LRG_511	NF2	public	22	29598556	29700600	1
LRG_512	NSD1	public	5	177128079	177302213	1
LRG_513	PHOX2B	public	4	41742082	41753970	-1
LRG_514	PRKAR1A	public	17	68408623	68553316	1
LRG_515	PTCH1	public	9	95440982	95521965	-1
LRG_516	RAD51D	public	17	35097792	35124869	-1
LRG_517	RB1	public	13	48298747	48483890	1
LRG_518	RET	public	10	43072069	43132351	1
LRG_519	SDHAF2	public	11	61425125	61448767	1
LRG_520	SMARCB1	public	22	23781963	23836518	1
LRG_521	SUFU	public	10	102498962	102635457	1
LRG_522	HNF1A	public	12	120973746	121004512	1
LRG_523	TSHR	public	14	80950525	81148302	1
LRG_524	WRN	public	8	31028262	31175761	1
LRG_525	WT1	public	11	32385779	32440541	-1
LRG_526	CEP57	public	11	95785461	95834693	1
LRG_527	FANCF	public	11	22620533	22630841	-1
LRG_528	TMEM127	public	2	96248208	96271013	-1
LRG_529	BAP1	public	3	52399008	52414993	-1
LRG_530	MAX	public	14	65004174	65107509	-1
LRG_531	EZH2	public	7	148805372	148889349	-1
LRG_532	RHBDF2	public	17	76468893	76506427	-1
LRG_533	CDKN1C	public	11	2881218	2890765	-1
LRG_534	DIS3L2	public	2	231956583	232345968	1
LRG_535	STK4	public	20	44961479	45081953	1
LRG_536	FSHR	public	2	48960513	49159491	-1
LRG_537	AMT	public	3	49414778	49427678	-1
LRG_538	KERA	public	12	91048491	91063354	-1
LRG_539	BCS1L	public	2	218654656	218665443	1
LRG_540	CUBN	public	10	16821966	17134817	-1
LRG_541	GCSH	public	16	81079947	81101375	-1
